iter	Passed	Remaining
0	1498	1497266
1	2898	1446524
2	3861	1283449
3	4687	1167259
4	5551	1104649
5	6839	1133058
6	7638	1083609
7	8369	1037802
8	9100	1002037
9	10856	1074752
10	11774	1058606
11	12467	1026450
12	13479	1023380
13	14311	1007963
14	14906	978869
15	15398	947011
16	16069	929207
17	16804	916799
18	17468	901912
19	17938	879008
20	18497	862323
21	19260	856218
22	19847	843105
23	20404	829799
24	20933	816407
25	21553	807429
26	22461	809463
27	23086	801433
28	23701	793598
29	24221	783157
30	24864	777204
31	25446	769754
32	26003	761992
33	26600	755773
34	27309	752959
35	27859	746003
36	28496	741670
37	29002	734214
38	29683	731426
39	31124	746979
40	32090	750601
41	32707	746037
42	33269	740448
43	33858	735643
44	34499	732147
45	35073	727397
46	35720	724286
47	36214	718252
48	37040	718881
49	37515	712787
50	38121	709360
51	38578	703321
52	39178	700045
53	40326	706452
54	41055	705411
55	41725	703371
56	42341	700491
57	43000	698385
58	43747	697740
59	44455	696464
60	45000	692705
61	45746	692102
62	46304	688694
63	46889	685762
64	47478	682966
65	49186	696060
66	50383	701615
67	51345	703736
68	52964	714639
69	54669	726326
70	55629	727878
71	56486	728054
72	57298	727608
73	58033	726206
74	58814	725383
75	59851	727663
76	60574	726105
77	61409	725896
78	62122	724238
79	62867	722981
80	63404	719368
81	63983	716302
82	64544	713097
83	65166	710629
84	65801	708338
85	66340	705064
86	66909	702166
87	67451	699046
88	68338	699510
89	69202	699718
90	69790	697138
91	70372	694548
92	70977	692219
93	71660	690685
94	72389	689601
95	73016	687575
96	73673	685846
97	74397	684759
98	75170	684127
99	75865	682788
100	77514	689952
101	78708	692942
102	80086	697455
103	81646	703417
104	83421	711065
105	85851	724068
106	87880	733436
107	90230	745233
108	91392	747071
109	92359	747268
110	95287	763159
111	97367	771985
112	99880	784020
113	101701	790413
114	102825	791311
115	103470	788515
116	104278	786991
117	105094	785533
118	105754	782936
119	106523	781168
120	107506	780974
121	108246	779022
122	108985	777074
123	109679	774831
124	110533	773731
125	111277	771879
126	111964	769646
127	112936	769377
128	113968	769507
129	114999	769611
130	115719	767638
131	116567	766518
132	117468	765754
133	118246	764188
134	118892	761792
135	119689	760379
136	120629	759875
137	121306	757727
138	122034	755911
139	123018	755687
140	123884	754726
141	124509	752319
142	125187	750252
143	125933	748602
144	126809	747739
145	127537	746008
146	128173	743755
147	128844	741724
148	129836	741547
149	130589	740005
150	131225	737820
151	131933	736051
152	132764	734978
153	133624	734064
154	134375	732563
155	135127	731072
156	135914	729781
157	136645	728201
158	137325	726358
159	138133	725203
160	139673	727861
161	141151	730152
162	142699	732755
163	143859	733334
164	144467	731091
165	145186	729432
166	146099	728750
167	147269	729336
168	147852	727013
169	148799	726489
170	150063	727503
171	151109	727435
172	151982	726527
173	153493	728653
174	154286	727348
175	154994	725656
176	155695	723940
177	156896	724545
178	158322	726161
179	159508	726649
180	160467	726092
181	161181	724431
182	161875	722689
183	162797	721973
184	164695	725549
185	166034	726625
186	167188	726866
187	168665	728493
188	169357	726712
189	169999	724735
190	170855	723675
191	171724	722673
192	172709	722159
193	173697	721652
194	174740	721362
195	175549	720111
196	176421	719119
197	177295	718135
198	178243	717452
199	179120	716481
200	179962	715371
201	180974	714937
202	182062	714798
203	182901	713673
204	183771	712674
205	184488	711087
206	185325	709965
207	186213	709042
208	186911	707403
209	187487	705308
210	188135	703501
211	189151	703071
212	191329	706929
213	192573	707302
214	193148	705217
215	193905	703803
216	194655	702374
217	195694	701988
218	196606	701139
219	197416	699931
220	198235	698758
221	199060	697608
222	200329	698009
223	201669	698640
224	202849	698704
225	203841	698112
226	204462	696253
227	205232	694909
228	205920	693294
229	206863	692544
230	207787	691724
231	208517	690266
232	209230	688753
233	210171	687998
234	212264	690989
235	213893	692433
236	215044	692314
237	215938	691367
